chromosome	start	end	celltypes
chr11	33840000	33880000	CO, HC, LI, PA
chr11	33880000	33920000	GM12878, IMR90, NPC, PO
chr11	33920000	33960000	MSC
chr11	3400000	3440000	AO, H1, PO, RV, SB, TRO
chr11	34000000	34040000	OV, TRO
chr11	34040000	34080000	BL, H1, MES, PO, RV
chr11	34080000	34120000	AO, LG, LV
chr11	3440000	3480000	BL, CO, LI, LV, PA
chr11	34440000	34480000	H1, IMR90, TRO
chr11	34480000	34520000	AD, AO, BL, CO, HC, LG, MSC, NPC, PA, PO
chr11	34520000	34560000	GM12878, LI, LV, OV, RV, SX
chr11	34600000	34640000	SB
chr11	3480000	3520000	AD, HC, MSC, NPC, SX
chr11	34840000	34880000	BL
chr11	34880000	34920000	AD, H1, MES, PA, SX, TRO
chr11	34920000	34960000	CO, HC, IMR90, LG, LI, NPC, PO
chr11	34960000	35000000	SB
chr11	3520000	3560000	IMR90, LG
chr11	35440000	35480000	NPC
chr11	35480000	35520000	H1, IMR90, MES
chr11	35520000	35560000	HC, LV, MSC, PO, RV, SX, TRO
chr11	35560000	35600000	AD, CO, GM12878, LG, LI, OV, PA, SB
chr11	35600000	35640000	AO, BL
chr11	36560000	36600000	H1, MES
chr11	36600000	36640000	NPC, TRO
chr11	36640000	36680000	AD, BL, IMR90, MSC, OV
chr11	36680000	36720000	CO, HC, LI
chr11	36720000	36760000	LG, LV, PA, PO, RV
chr11	36760000	36800000	SB
chr11	36800000	36840000	AO
chr11	36840000	36880000	GM12878, SX
chr11	38920000	38960000	BL, GM12878, HC, MSC, PA, SB, SX
chr11	38960000	39000000	LI, MES, NPC, TRO
chr11	39000000	39040000	AD, AO, H1, OV, PO
chr11	39040000	39080000	CO, IMR90, LG, LV, RV
chr11	39360000	39400000	H1, MES
chr11	39440000	39480000	AD, OV
chr11	39520000	39560000	SB
chr11	39960000	40000000	IMR90
chr11	40040000	40080000	SX
chr11	40200000	40240000	H1, LI
chr11	40240000	40280000	AD, CO, MES, NPC, TRO
chr11	40280000	40320000	BL, MSC, SB
chr11	40320000	40360000	HC
chr11	40360000	40400000	GM12878, LG, LV, PA
chr11	40400000	40440000	RV, SX
chr11	40560000	40600000	PO
chr11	40720000	40760000	GM12878, MSC
chr11	4080000	4120000	H1, OV, PA, RV
chr11	40800000	40840000	MES
chr11	40840000	40880000	H1
chr11	41080000	41120000	SX
chr11	41160000	41200000	SB
chr11	4120000	4160000	AO, BL, LG, LI, MSC, NPC, SB, TRO
chr11	41240000	41280000	AO
chr11	41280000	41320000	HC
chr11	41320000	41360000	CO
chr11	41360000	41400000	LG, PA
chr11	41400000	41440000	BL, H1, NPC, TRO
chr11	41440000	41480000	AD, GM12878, LI, MES
chr11	41480000	41520000	LV, MSC
chr11	4160000	4200000	IMR90, PO, SX
chr11	41680000	41720000	IMR90
chr11	4200000	4240000	GM12878
chr11	42720000	42760000	GM12878
chr11	43280000	43320000	SB, SX
chr11	43320000	43360000	AO, IMR90, OV, PA, PO
chr11	43360000	43400000	BL, GM12878, LG
chr11	43400000	43440000	AD, CO, HC, LI, LV, MSC, RV
chr11	43440000	43480000	NPC, TRO
chr11	43480000	43520000	H1, MES
chr11	43840000	43880000	BL, SX
chr11	43920000	43960000	H1, IMR90, LI, MSC, NPC, PO
chr11	43960000	44000000	AD, HC, LG, TRO
chr11	44040000	44080000	GM12878, SB
chr11	44560000	44600000	MES, OV
chr11	44600000	44640000	PO, TRO
chr11	44920000	44960000	GM12878
chr11	45000000	45040000	MES, TRO
chr11	45040000	45080000	OV
chr11	45240000	45280000	H1
chr11	45280000	45320000	MES
chr11	45360000	45400000	NPC
chr11	45400000	45440000	CO, HC, LI
chr11	45440000	45480000	RV
chr11	45800000	45840000	SX
chr11	45840000	45880000	BL, GM12878, HC, IMR90, LI, OV, PA, PO
chr11	45880000	45920000	AD, AO, CO, H1, LG, MSC, NPC, RV, SB, TRO
chr11	45920000	45960000	LV, MES
chr11	46280000	46320000	LV
chr11	46320000	46360000	IMR90
chr11	46400000	46440000	H1, MSC, OV
chr11	46520000	46560000	TRO
chr11	46640000	46680000	MES, NPC
chr11	47760000	47800000	MES
chr11	47800000	47840000	NPC
chr11	47840000	47880000	H1, MSC, TRO
chr11	47880000	47920000	IMR90
chr11	47920000	47960000	AD, LV
chr11	47960000	48000000	RV
chr11	48040000	48080000	OV
chr11	48120000	48160000	BL, LI, MSC
chr11	48160000	48200000	AO, HC, LG, TRO
chr11	48200000	48240000	CO, IMR90, PA, PO, SB
chr11	48240000	48280000	GM12878
chr11	48280000	48320000	SX
chr11	49360000	49400000	AD, CO, MSC, PO
chr11	49400000	49440000	TRO
chr11	50040000	50080000	SB
chr11	50080000	50120000	CO, GM12878, HC
chr11	50120000	50160000	AD, BL, MSC, PA
chr11	50160000	50200000	LI, TRO
chr11	50200000	50240000	PO
chr11	50240000	50280000	OV
chr11	51080000	51120000	GM12878, H1, MES
chr11	51120000	51160000	IMR90, MSC, TRO
chr11	51160000	51200000	SX
chr11	51520000	51560000	AD, AO, BL, CO, HC, LG, LI, LV, OV, PA, PO, RV, SB
chr11	54760000	54800000	GM12878, H1, IMR90, MES, MSC, NPC, TRO
chr11	55520000	55560000	NPC
chr11	56560000	56600000	LG, LV, PO, SX
chr11	56640000	56680000	BL, IMR90, PA, RV
chr11	56840000	56880000	BL
chr11	56880000	56920000	LI, RV
chr11	56920000	56960000	AO, PO
chr11	56960000	57000000	LG, OV, PA
chr11	57000000	57040000	AD, GM12878, SB
chr11	57040000	57080000	CO, HC, IMR90, MSC, TRO
chr11	57080000	57120000	H1, NPC
chr11	57120000	57160000	MES
chr11	58320000	58360000	AD, LI
chr11	58360000	58400000	H1, LG, MES, NPC
chr11	58400000	58440000	AO, BL, MSC, TRO
chr11	58440000	58480000	IMR90, PA, PO
chr11	58480000	58520000	SX
chr11	58680000	58720000	RV
chr11	58720000	58760000	GM12878, LV
chr11	58760000	58800000	SB
chr11	58840000	58880000	LI, PA
chr11	58920000	58960000	NPC
chr11	59120000	59160000	LV, MSC, PO, RV
chr11	59160000	59200000	AD, OV
chr11	5920000	5960000	SB
chr11	59280000	59320000	LG, MES
chr11	59320000	59360000	H1, TRO
chr11	59360000	59400000	CO
chr11	59440000	59480000	SX
chr11	59480000	59520000	GM12878
chr11	59520000	59560000	LI, PA
chr11	59560000	59600000	NPC
chr11	59600000	59640000	HC
chr11	59640000	59680000	IMR90
chr11	6000000	6040000	AD, BL, H1, LI, LV, MES, MSC, RV, SX
chr11	60000000	60040000	GM12878
chr11	6040000	6080000	LG, TRO
chr11	60560000	60600000	LG, LV, OV, PO, SX
chr11	60600000	60640000	AO, GM12878, IMR90, NPC, PA, RV
chr11	60640000	60680000	BL, TRO
chr11	60680000	60720000	SB
chr11	6080000	6120000	AO, GM12878, PA
chr11	60920000	60960000	PO
chr11	60960000	61000000	LI, OV
chr11	61000000	61040000	IMR90, LV, RV
chr11	61040000	61080000	AO, BL, LG, MSC
chr11	61080000	61120000	AD, CO, NPC, TRO
chr11	61120000	61160000	H1, HC, MES, PA, SB, SX
chr11	6120000	6160000	IMR90
chr11	61280000	61320000	GM12878
chr11	61480000	61520000	H1, NPC, TRO
chr11	61520000	61560000	MES
chr11	61920000	61960000	TRO
chr11	61960000	62000000	AD, NPC
chr11	6200000	6240000	CO, HC, OV
chr11	62000000	62040000	CO, H1, HC, LV, PA, PO, SB
chr11	62040000	62080000	BL, SX
chr11	62080000	62120000	AO, OV
chr11	62480000	62520000	MES
chr11	62520000	62560000	CO, H1, HC
chr11	62560000	62600000	NPC
chr11	62600000	62640000	MSC, TRO
chr11	62640000	62680000	AD, BL, GM12878, IMR90, OV, RV
chr11	62680000	62720000	AO, LG, LV, PA
chr11	62720000	62760000	PO, SX
chr11	62760000	62800000	SB
chr11	6280000	6320000	PO
chr11	63120000	63160000	LG
chr11	63160000	63200000	SB, SX
chr11	6400000	6440000	SX
chr11	64000000	64040000	AO
chr11	64040000	64080000	BL, CO, H1, HC, IMR90, MES, MSC, NPC, OV, SX, TRO
chr11	64080000	64120000	AD, LG, PO
chr11	64120000	64160000	GM12878, LV
chr11	64160000	64200000	PA
chr11	6440000	6480000	LI, TRO
chr11	64480000	64520000	GM12878, PA, PO, SX
chr11	64520000	64560000	AO, BL, HC, LG, LV, OV, RV
chr11	64560000	64600000	AD, LI, NPC, SB
chr11	64600000	64640000	H1, IMR90, MSC, TRO
chr11	64640000	64680000	MES
chr11	64880000	64920000	MES
chr11	64920000	64960000	TRO
chr11	6520000	6560000	AD
chr11	65320000	65360000	CO, IMR90, LG, SB
chr11	65360000	65400000	AD, GM12878, H1, MES, MSC, PA, TRO
chr11	65400000	65440000	BL, HC, NPC, OV
chr11	65720000	65760000	BL
chr11	65800000	65840000	H1
chr11	65840000	65880000	PO, RV, TRO
chr11	65880000	65920000	LV
chr11	65960000	66000000	SB
chr11	66000000	66040000	NPC
chr11	66040000	66080000	CO, LG, MSC, SX
chr11	66080000	66120000	AO, GM12878, IMR90, MES
chr11	66120000	66160000	AD
chr11	6640000	6680000	MES
chr11	6680000	6720000	H1
chr11	6720000	6760000	NPC, OV, TRO
chr11	67240000	67280000	IMR90, MES, MSC, NPC
chr11	67280000	67320000	AD, AO, H1, LI, LV, OV, RV, TRO
chr11	67360000	67400000	BL, PO
chr11	67400000	67440000	CO, PA
chr11	67560000	67600000	GM12878, LG, SB
chr11	6760000	6800000	AD, AO, BL, HC, PO
chr11	67600000	67640000	SX
chr11	67680000	67720000	HC
chr11	67840000	67880000	AO
chr11	6800000	6840000	GM12878, LG, LI, MSC, PA, SB
chr11	68280000	68320000	GM12878
chr11	6840000	6880000	LV, RV, SX
chr11	68640000	68680000	CO, SB
chr11	68680000	68720000	LG, NPC
chr11	68720000	68760000	AD, GM12878, H1, MES, MSC
chr11	68760000	68800000	LI, PA, SX, TRO
chr11	68800000	68840000	BL, HC, LV, PO, RV
chr11	68880000	68920000	OV
chr11	69480000	69520000	OV
chr11	69560000	69600000	SX
chr11	69600000	69640000	PO
chr11	69640000	69680000	AD, HC
chr11	69680000	69720000	GM12878, H1, TRO
chr11	70040000	70080000	CO
chr11	70080000	70120000	AD, LI
chr11	70120000	70160000	HC, PA
chr11	70160000	70200000	H1, LG, MES, MSC, NPC, RV, TRO
chr11	70200000	70240000	BL, IMR90, LV, SB
chr11	70240000	70280000	PO
chr11	70320000	70360000	AO
chr11	70600000	70640000	HC
chr11	70640000	70680000	TRO
chr11	70720000	70760000	LG
chr11	71400000	71440000	CO, NPC, SB, TRO
chr11	71440000	71480000	GM12878
chr11	71480000	71520000	AD, H1, HC, IMR90, LI, LV, MSC, PO, RV, SX
chr11	71520000	71560000	BL, LG, MES, PA
chr11	71560000	71600000	AO, OV
chr11	72080000	72120000	LG
chr11	72160000	72200000	CO, HC, LV, OV, PO, SB
chr11	72200000	72240000	RV
chr11	72240000	72280000	AD, BL, GM12878, LI
chr11	72280000	72320000	NPC
chr11	72320000	72360000	H1, MES, MSC, TRO
chr11	72360000	72400000	IMR90
chr11	73000000	73040000	AD, NPC
chr11	73040000	73080000	CO, H1, IMR90, LI, MES, MSC, PO, TRO
chr11	73080000	73120000	HC
chr11	73120000	73160000	SB
chr11	73440000	73480000	AD, AO, CO, PA
chr11	73480000	73520000	BL, GM12878, MSC, PO, RV
chr11	73520000	73560000	IMR90
chr11	73560000	73600000	LG, LV, OV, SX
chr11	73680000	73720000	H1, MES
chr11	73720000	73760000	HC
chr11	73760000	73800000	NPC
chr11	73840000	73880000	SB
chr11	73920000	73960000	SX
chr11	74400000	74440000	GM12878
chr11	74600000	74640000	AD, AO, LG, LV, NPC, PA, SX
chr11	74640000	74680000	LI
chr11	75000000	75040000	BL, LG, LV, NPC, OV, PA
chr11	75040000	75080000	AO, PO, TRO
chr11	75080000	75120000	CO, GM12878, H1, HC, IMR90, LI, MES, MSC, RV, SB
chr11	75240000	75280000	AD
chr11	75280000	75320000	SX
chr11	76240000	76280000	OV
chr11	76400000	76440000	SB
chr11	76520000	76560000	SX
chr11	76560000	76600000	AD, IMR90
chr11	76640000	76680000	GM12878
chr11	76680000	76720000	BL, OV, RV
chr11	76720000	76760000	AO, LV, MSC, NPC, PA
chr11	76760000	76800000	CO, H1, LI, PO, TRO
chr11	76800000	76840000	HC, LG, MES
chr11	77320000	77360000	LV
chr11	77360000	77400000	AO, CO, PO, RV
chr11	77400000	77440000	AD, GM12878, HC, LG, MSC, SX
chr11	77440000	77480000	BL, H1, IMR90, MES, OV, TRO
chr11	77480000	77520000	PA
chr11	77640000	77680000	HC
chr11	77680000	77720000	LV, NPC
chr11	77720000	77760000	BL, CO, MES, SX, TRO
chr11	77760000	77800000	GM12878, H1, RV
chr11	77800000	77840000	AD, IMR90, LI, MSC, OV, SB
chr11	78240000	78280000	BL, CO, H1, IMR90, MES, NPC, OV, PA
chr11	78280000	78320000	AD, AO, HC, LG, LI, LV, MSC, PO, RV, SB, TRO
chr11	78320000	78360000	SX
chr11	78400000	78440000	GM12878
chr11	78800000	78840000	H1, LI
chr11	78920000	78960000	NPC
chr11	79160000	79200000	CO
chr11	79240000	79280000	BL, GM12878, LG, OV
chr11	79280000	79320000	AO, H1, IMR90
chr11	79320000	79360000	PO, TRO
chr11	79400000	79440000	MES
chr11	79440000	79480000	SX
chr11	8040000	8080000	CO, HC, LG, NPC, OV, PA, SX, TRO
chr11	8080000	8120000	BL, GM12878, H1, LV, MES, RV
chr11	81080000	81120000	AO, IMR90
chr11	81120000	81160000	MSC, NPC, SX, TRO
chr11	81160000	81200000	BL, LI, MES, OV
chr11	8120000	8160000	AD, PO
chr11	81200000	81240000	AD, CO, GM12878, H1, HC, PA
chr11	81240000	81280000	LG
chr11	81280000	81320000	SB
chr11	81360000	81400000	PO
chr11	8160000	8200000	AO, LI, MSC
chr11	8200000	8240000	IMR90
chr11	82240000	82280000	GM12878, LV, PO, RV, SX
chr11	82280000	82320000	IMR90, LG, PA
chr11	82320000	82360000	AO, MSC
chr11	82360000	82400000	BL, CO, HC, LI, SB
chr11	8240000	8280000	SB
chr11	82400000	82440000	AD, NPC, OV
chr11	82440000	82480000	H1, TRO
chr11	82480000	82520000	MES
chr11	82960000	83000000	AO
chr11	83000000	83040000	GM12878, LG, OV, PO
chr11	83040000	83080000	SX
chr11	83480000	83520000	AD, AO, OV
chr11	83520000	83560000	BL, CO, H1, HC, MSC
chr11	83560000	83600000	LI, LV, MES, NPC, PA, RV, TRO
chr11	83600000	83640000	GM12878, IMR90, LG, SB, SX
chr11	83640000	83680000	PO
chr11	84120000	84160000	H1
chr11	84160000	84200000	PO
chr11	84240000	84280000	BL, GM12878, LV, MES, NPC, RV
chr11	84280000	84320000	LI, TRO
chr11	84320000	84360000	CO, HC, IMR90, PA
chr11	84360000	84400000	AD, LG, MSC
chr11	85200000	85240000	SX
chr11	85240000	85280000	LG, PO, SB
chr11	85280000	85320000	AO, CO, HC, IMR90, OV, PA, RV
chr11	85320000	85360000	AD, GM12878, LI, LV, MSC
chr11	85360000	85400000	BL, TRO
chr11	85400000	85440000	NPC
chr11	85440000	85480000	MES
chr11	85560000	85600000	H1
chr11	8560000	8600000	BL
chr11	85960000	86000000	LV
chr11	8600000	8640000	LG, OV, PA, SX
chr11	86000000	86040000	AD, AO, RV
chr11	86040000	86080000	BL, LG, MSC, NPC, OV, PA, PO, TRO
chr11	86080000	86120000	IMR90, LI, MES, SB
chr11	86120000	86160000	H1
chr11	86160000	86200000	HC
chr11	8640000	8680000	CO, IMR90, MSC, PO, SB
chr11	86560000	86600000	H1
chr11	86600000	86640000	LI, MES
chr11	86640000	86680000	AD, GM12878, MSC, PO, SB, SX, TRO
chr11	86680000	86720000	AO, CO, IMR90, NPC, OV, PA
chr11	8680000	8720000	AO, HC, LI
chr11	87000000	87040000	IMR90
chr11	87040000	87080000	BL, CO, GM12878, H1, MES, OV
chr11	87080000	87120000	AD, AO, HC, NPC, PA, PO, TRO
chr11	87120000	87160000	LG, LI, MSC, SB, SX
chr11	87160000	87200000	LV, RV
chr11	88800000	88840000	GM12878, H1, MES, TRO
chr11	88840000	88880000	LI, LV, MSC, NPC
chr11	88880000	88920000	IMR90
chr11	88920000	88960000	SX
chr11	88960000	89000000	HC
chr11	89440000	89480000	SB
chr11	89480000	89520000	AD, CO, LI
chr11	89520000	89560000	GM12878, PO
chr11	89560000	89600000	SX
chr11	8960000	9000000	SB
chr11	89720000	89760000	PO
chr11	89760000	89800000	SB
chr11	89800000	89840000	AO, IMR90, PA
chr11	89840000	89880000	AD, BL, GM12878, H1, LG, MES, OV, SX, TRO
chr11	89880000	89920000	CO, LV, MSC, NPC, RV
chr11	89920000	89960000	HC, LI
chr11	9040000	9080000	H1
chr11	9080000	9120000	MSC
chr11	91080000	91120000	GM12878, TRO
chr11	91120000	91160000	H1, MES
chr11	9120000	9160000	TRO
chr11	91200000	91240000	AO
chr11	91280000	91320000	NPC
chr11	91400000	91440000	IMR90
chr11	9160000	9200000	MES, NPC
chr11	92640000	92680000	GM12878
chr11	9280000	9320000	OV
chr11	92800000	92840000	SB, SX
chr11	92880000	92920000	RV
chr11	92920000	92960000	H1, LG, LI, LV, NPC, PA, PO, TRO
chr11	93400000	93440000	SB
chr11	93440000	93480000	BL, CO
chr11	93480000	93520000	AD, AO, H1, HC, IMR90, LG, LV, MES, OV, PO, RV, TRO
chr11	93520000	93560000	GM12878, LI, MSC, NPC, PA, SX
chr11	94200000	94240000	CO, PO
chr11	94240000	94280000	AD, BL, HC, LG, LI, LV, PA, RV, SX
chr11	94280000	94320000	AO, H1, IMR90, MES, MSC, NPC, OV, TRO
chr11	94320000	94360000	GM12878
chr11	94440000	94480000	SB
chr11	94600000	94640000	OV
chr11	94680000	94720000	MSC, NPC, PA, PO
chr11	94720000	94760000	H1, IMR90, MES, TRO
chr11	9480000	9520000	CO
chr11	9520000	9560000	TRO
chr11	95520000	95560000	IMR90
chr11	95560000	95600000	GM12878, H1, MES, MSC
chr11	9560000	9600000	H1, MES, NPC, PA
chr11	95600000	95640000	AD, HC, LG, LI, LV, NPC, OV, RV, SB, TRO
chr11	95640000	95680000	SX
chr11	96160000	96200000	H1, LV, MES, NPC, OV
chr11	96200000	96240000	AD, AO, BL, CO, LG, LI, MSC, PA, PO, RV, TRO
chr11	96240000	96280000	HC, IMR90
chr11	96280000	96320000	GM12878, SX
chr11	96320000	96360000	SB
chr11	96960000	97000000	GM12878
chr11	97000000	97040000	H1
chr11	97040000	97080000	MES
chr11	98320000	98360000	MES
chr11	98400000	98440000	H1, PO
chr11	98520000	98560000	AD, AO, OV
chr11	98760000	98800000	IMR90
chr11	98800000	98840000	OV
chr11	98840000	98880000	CO, HC, SB
chr11	98880000	98920000	AD, BL, MSC
chr11	98920000	98960000	H1, LG, LI, LV, MES, RV
chr11	98960000	99000000	GM12878, NPC, PA, PO, SX, TRO
chr11	99600000	99640000	MSC, TRO
chr11	99640000	99680000	LV, MES, NPC, PO, RV
chr11	99680000	99720000	BL, CO, GM12878, H1, HC, IMR90, LG, LI
chr11	99720000	99760000	AD
chr11	99800000	99840000	AO
chr12	100160000	100200000	LG
chr12	100200000	100240000	LV, PO, RV
chr12	100240000	100280000	MSC
chr12	100280000	100320000	IMR90, SX
chr12	100320000	100360000	HC, LI, SB
chr12	100360000	100400000	GM12878
chr12	100400000	100440000	OV
chr12	100440000	100480000	AD
chr12	100480000	100520000	BL
chr12	100520000	100560000	CO
chr12	100560000	100600000	H1, PA
chr12	100600000	100640000	MES, NPC
chr12	100680000	100720000	AO
chr12	101000000	101040000	CO
chr12	101040000	101080000	AO, HC
chr12	101080000	101120000	BL, IMR90, MSC, SB
chr12	101120000	101160000	AD, H1, MES, PA, TRO
chr12	101160000	101200000	GM12878, NPC
chr12	101640000	101680000	LG, LV, RV, SX
chr12	101680000	101720000	PO
chr12	101720000	101760000	GM12878, LI, PA
chr12	101760000	101800000	BL, SB
chr12	101800000	101840000	AD, AO, H1, HC, IMR90, MES, MSC, NPC, TRO
chr12	101840000	101880000	CO, OV
chr12	102160000	102200000	CO, PO
chr12	102200000	102240000	H1
chr12	102360000	102400000	SB
chr12	10240000	10280000	AO, OV
chr12	10280000	10320000	BL, GM12878, LI, PA
chr12	103080000	103120000	SB
chr12	10320000	10360000	AD, LG, SX
chr12	103240000	103280000	PA, SX
chr12	103280000	103320000	GM12878, HC, LI, NPC
chr12	103320000	103360000	CO, H1, IMR90, MES, MSC, TRO
chr12	103360000	103400000	OV, PO
chr12	104040000	104080000	BL, LG, LV, RV
chr12	104080000	104120000	PO
chr12	104120000	104160000	IMR90, LI, SX
chr12	104160000	104200000	AO, CO, GM12878, HC, OV, PA
chr12	104200000	104240000	H1
chr12	104240000	104280000	AD, MES, TRO
chr12	104280000	104320000	MSC, NPC
chr12	104320000	104360000	SB
chr12	105520000	105560000	IMR90, TRO
chr12	105560000	105600000	CO, HC, MES, MSC, PO
chr12	105600000	105640000	AD, BL, H1, LG, LV, NPC, OV, PA, RV
chr12	105640000	105680000	LI
chr12	105680000	105720000	AO, SX
chr12	105760000	105800000	GM12878, SB
chr12	106640000	106680000	SB, SX
chr12	106680000	106720000	GM12878, H1
chr12	106720000	106760000	AD, AO, BL, IMR90, LI, MES, MSC, NPC, PA, TRO
chr12	106760000	106800000	CO, HC, LG, LV, OV, RV
chr12	106800000	106840000	PO
chr12	107400000	107440000	IMR90
chr12	107440000	107480000	AD, CO, H1, LG, LI, MES, MSC, NPC, SX, TRO
chr12	107480000	107520000	AO, BL, GM12878, HC, LV, PA, RV, SB
chr12	107520000	107560000	OV, PO
chr12	10800000	10840000	CO, LV, PA, RV
chr12	108040000	108080000	GM12878, MSC
chr12	108080000	108120000	CO, HC, PA, PO
chr12	108120000	108160000	AD, AO, LG, TRO
chr12	108160000	108200000	BL, H1, LV, MES, NPC, RV, SB, SX
chr12	108200000	108240000	IMR90
chr12	10840000	10880000	AO, BL, GM12878, H1, LG, LI, PO, SX
chr12	10880000	10920000	MES, MSC, TRO
chr12	108920000	108960000	AO, BL, CO, HC, IMR90, LG, LV, MSC, OV, PA, PO, RV, SX, TRO
chr12	108960000	109000000	GM12878, LI, SB
chr12	109000000	109040000	AD, NPC
chr12	109040000	109080000	H1, MES
chr12	10920000	10960000	IMR90, OV, SB
chr12	109520000	109560000	OV
chr12	109560000	109600000	AD, BL, CO, HC
chr12	10960000	11000000	NPC
chr12	109640000	109680000	LI, PO
chr12	109720000	109760000	RV
chr12	109800000	109840000	LG, LV, SB
chr12	109840000	109880000	BL, CO, NPC
chr12	109880000	109920000	H1
chr12	109920000	109960000	GM12878, MES, MSC, PA, SX
chr12	109960000	110000000	AO
chr12	110240000	110280000	GM12878, SX
chr12	110320000	110360000	AO, CO, IMR90, LG, LI, MSC, PO, RV
chr12	110360000	110400000	AD, BL, H1, HC, LV, MES, OV, PA, SB, TRO
chr12	110400000	110440000	NPC
chr12	110800000	110840000	MES
chr12	110880000	110920000	H1, LV, RV
chr12	111000000	111040000	AD, BL
chr12	111040000	111080000	CO, IMR90, LI
chr12	111080000	111120000	PA
chr12	111120000	111160000	OV
chr12	111240000	111280000	AO, H1, HC, LG, MSC
chr12	111320000	111360000	NPC, PO, SX
chr12	111360000	111400000	GM12878, RV, SB
chr12	111760000	111800000	SB
chr12	111800000	111840000	AD, MSC, OV
chr12	111840000	111880000	H1, IMR90, LI, PA, SX
chr12	111880000	111920000	AO, LG, TRO
chr12	112000000	112040000	MES
chr12	112040000	112080000	NPC, PO
chr12	112080000	112120000	GM12878, LI
chr12	112120000	112160000	CO
chr12	112160000	112200000	BL, RV
chr12	112200000	112240000	HC, LV, OV
chr12	112840000	112880000	HC, NPC
chr12	112880000	112920000	CO, H1, MES, OV
chr12	112920000	112960000	BL, MSC, SB, SX, TRO
chr12	112960000	113000000	AD, AO, IMR90, LG, LI, LV, PA, RV
chr12	113000000	113040000	GM12878, PO
chr12	113360000	113400000	LI
chr12	113400000	113440000	OV
chr12	113480000	113520000	TRO
chr12	113560000	113600000	CO, HC
chr12	113600000	113640000	H1, MES, NPC
chr12	113880000	113920000	GM12878, SX
chr12	114280000	114320000	H1, SX
chr12	114320000	114360000	AO, BL, CO, LV, MES, PO, RV
chr12	114360000	114400000	AD, GM12878, HC, IMR90, LI, NPC, OV, PA, SB, TRO
chr12	114440000	114480000	MSC
chr12	114880000	114920000	AO
chr12	114920000	114960000	AD, BL, GM12878, OV
chr12	114960000	115000000	IMR90, LG, MES, MSC, PO, RV, SB, TRO
chr12	115000000	115040000	CO, H1, HC, LV, NPC, SX
chr12	11600000	11640000	GM12878
chr12	116320000	116360000	AO, CO, GM12878, HC, LI, OV, PA, PO, SX
chr12	116360000	116400000	AD, BL, H1, IMR90, LG, LV, MES, MSC, NPC, RV, SB, TRO
chr12	11640000	11680000	AD, AO, BL, CO, H1, HC, IMR90, LG, MES, MSC, NPC, OV, PA, PO, SX, TRO
chr12	11680000	11720000	LI, LV, RV, SB
chr12	117560000	117600000	CO, H1, IMR90, MES, MSC, NPC, OV
chr12	117600000	117640000	AD, AO, BL, LG, LI, LV, PO, RV, SB, TRO
chr12	117640000	117680000	GM12878, HC, PA, SX
chr12	118200000	118240000	GM12878
chr12	118240000	118280000	AD
chr12	118280000	118320000	BL, IMR90, LI, RV, SX
chr12	118320000	118360000	PO
chr12	118360000	118400000	CO, HC, LG, LV, OV
chr12	118400000	118440000	PA, TRO
chr12	118440000	118480000	H1, MSC
chr12	118480000	118520000	MES, NPC
chr12	118760000	118800000	PA
chr12	118880000	118920000	GM12878, SX
chr12	119040000	119080000	SB
chr12	120120000	120160000	GM12878
chr12	120480000	120520000	SX
chr12	120520000	120560000	AO, LV, PO
chr12	120560000	120600000	BL, CO, IMR90, LG, MSC, NPC, OV, PA, RV, SB
chr12	120600000	120640000	AD, GM12878, HC, LI
chr12	120640000	120680000	TRO
chr12	120680000	120720000	H1, MES
chr12	121800000	121840000	BL
chr12	121840000	121880000	AO, OV, PO
chr12	121880000	121920000	H1, NPC
chr12	121920000	121960000	LG, PA, SB, SX
chr12	121960000	122000000	CO, LI, RV
chr12	12200000	12240000	IMR90, MSC
chr12	122000000	122040000	AD, IMR90
chr12	122040000	122080000	LV, MSC
chr12	122160000	122200000	HC
chr12	122240000	122280000	GM12878, NPC, TRO
chr12	122280000	122320000	MES
chr12	122320000	122360000	AD, CO, H1, LI, PA, RV, SB, SX
chr12	12240000	12280000	SB
chr12	122680000	122720000	BL, IMR90, MES
chr12	122720000	122760000	MSC, SB
chr12	12280000	12320000	OV
chr12	12320000	12360000	CO, HC, PA
chr12	124120000	124160000	IMR90, MSC
chr12	124160000	124200000	HC, TRO
chr12	124200000	124240000	AD, CO, LG, LI, LV, MES, NPC, OV, PA, SB
chr12	124240000	124280000	AO, BL, PO, RV, SX
chr12	124280000	124320000	GM12878, H1
chr12	12440000	12480000	PO
chr12	12520000	12560000	SX
chr12	125440000	125480000	H1, MES
chr12	125480000	125520000	NPC, TRO
chr12	125520000	125560000	AD, HC, IMR90, LI, MSC, RV
chr12	125560000	125600000	AO, BL, CO, GM12878, LV, OV, PA, PO, SB
chr12	125600000	125640000	LG, SX
chr12	127080000	127120000	OV
chr12	127240000	127280000	SB
chr12	127360000	127400000	LG, MES
chr12	127400000	127440000	H1, LI, RV, SX
chr12	127440000	127480000	AD, AO, BL, CO, HC, LV, PO
chr12	128520000	128560000	OV, SX
chr12	128560000	128600000	BL, LV, PA
chr12	128600000	128640000	RV
chr12	128640000	128680000	IMR90, PO
chr12	128680000	128720000	CO, GM12878, HC, LG, LI
chr12	128720000	128760000	H1, MES, MSC, NPC
chr12	128760000	128800000	AO
chr12	128800000	128840000	SB
chr12	128880000	128920000	AD
chr12	128960000	129000000	TRO
